chapter,industry_ko,industry_en,keywords_ko,keywords_en,reserved,special
83,금속잡화 산업,Miscellaneous Base Metal Articles,금속잡화,metal article,0,0
84,산업기계 산업,Machinery and Mechanical Appliances,산업기계|펌프,machinery|pump|industrial equipment,0,0
85,전기기기·전자제품 산업,Electrical Equipment and Electronics,전자제품|반도체|배터리,electronics|semiconductor|battery,0,0
86,철도차량 산업,Railway Equipment,철도차량,railway|locomotive,0,0
87,자동차·운송장비 산업,Automotive and Transport Equipment,자동차|전기차|자동차부품,automotive|electric vehicle|auto parts,0,0
88,항공우주 산업,Aerospace,항공기|드론,aircraft|aerospace|drone,0,0
89,조선·선박 산업,Shipbuilding and Marine Vessels,선박|조선,ship|shipbuilding|vessel,0,0
90,정밀광학·의료기기 산업,Precision Optical and Medical Instruments,의료기기|광학기기|측정기기,medical device|optical instrument,0,0
91,시계산업,Clocks and Watches,시계,watch|clock,0,0
92,악기산업,Musical Instruments,악기,musical instrument,0,0
93,방위산업,Arms and Ammunition,무기|탄약|방산,weapon|ammunition|defense,0,0
94,가구·조명 산업,Furniture and Lighting,가구|조명|LED,furniture|lighting|LED,0,0
95,완구·오락용품 산업,Toys and Games,완구|장난감,toy|game,0,0
96,생활잡화 산업,Miscellaneous Manufactured Articles,생활용품|필기구,miscellaneous goods|stationery,0,0
97,예술품·골동품 산업,Works of Art and Antiques,예술품|골동품,artwork|antique,0,0
98,국가별 특수분류,Special/Country-specific Classification,특수분류,special classification,0,1
99,국가별 임시·특수 조치,Special/Temporary National Provisions,임시조치|특수조치,temporary provision|special measure,0,1
